#mgi_symbol_MOUSE	hgnc_symbol_HUMAN
0610010K14Rik	C17orf49
Adipor1	ADIPOR1
Adipor2	ADIPOR2
Adk	ADK
Adnp	ADNP
Ado	ADO
Adprh	ADPRH
Adprm	ADPRM
Adsl	ADSL
Aff4	AFF4
Aftph	AFTPH
Agfg1	AGFG1
Aggf1	AGGF1
Agpat1	AGPAT1
Agpat3	AGPAT3
Agps	AGPS
Ahcy	AHCY
Ahcyl	AHCY
Ahsa1	AHSA1
AI597479	C2orf49
Aimp1	AIMP1
Aip	AIP
Ak2	AK2
Ak3	AK3
Ak6	TAF9
Akap8	AKAP8
Akap9	AKAP9
Akip1	AKIP1
Akirin1	AKIRIN1
Akirin2	AKIRIN2
Akr1a1	AKR1A1
Akt1	AKT1
Akt1s1	AKT1S1
Aktip	AKTIP
Alad	ALAD
Aldh3a2	ALDH3A2
Aldh9a1	ALDH9A1
Alg11	ALG11
Alg5	ALG5
Alg8	ALG8
Alg9	ALG9
Alkbh1	ALKBH1
Alkbh2	ALKBH2
Alkbh3	ALKBH3
Alkbh5	ALKBH5
Als2	ALS2
Alyref	ALYREF
Alyref2	ALYREF
Ambra1	AMBRA1
Amd1	AMD1
Amd2	AMD1
Anapc10	ANAPC10
Anapc11	ANAPC11
Anapc13	ANAPC13
Anapc15-ps	ANAPC15
Anapc16	ANAPC16
Anapc2	ANAPC2
Anapc5	ANAPC5
Anapc7	ANAPC7
Ank	ANKH
Ankfy1	ANKFY1
Ankhd1	ANKHD1
Ankrd10	ANKRD10
Ankrd17	ANKRD17
Ankrd28	ANKRD28
Ankrd39	ANKRD39
Ankrd46	ANKRD46
Ano6	ANO6
Anp32a	ANP32A
Anp32b	ANP32B
Anp32e	ANP32E
Anxa6	ANXA6
Anxa7	ANXA7
Ap1b1	AP1B1
Ap1g1	AP1G1
Ap1m1	AP1M1
Ap2a1	AP2A1
Ap2a2	AP2A2
Ap2m1	AP2M1
Ap2s1	AP2S1
Ap3b1	AP3B1
Ap3d1	AP3D1
Ap3m1	AP3M1
Ap3s1	AP3S1
Ap3s2	AP3S2
Ap4b1	AP4B1
Ap5m1	AP5M1
Apeh	APEH
Apex1	APEX1
Apex2	APEX2
Aph1a	APH1A
Api5	API5
Apip	APIP
Apol10a	APOL2
Apol10b	APOL2
Apol11a	APOL2
Apol11b	APOL2
Apol9a	APOL2
Apol9b	APOL2
Apool	APOOL
Appl2	APPL2
Aptx	APTX
Araf	ARAF
Arcn1	ARCN1
Arf1	ARF1
Arf5	ARF5
Arf6	ARF6
Arfgap2	ARFGAP2
Arfgap3	ARFGAP3
Arfgef2	ARFGEF2
Arfip1	ARFIP1
Arfip2	ARFIP2
Arfrp1	ARFRP1
Arhgap35	ARHGAP35
Arhgap5	ARHGAP5
Arhgdia	ARHGDIA
Arhgef10l	ARHGEF10L
Arhgef11	ARHGEF11
Arhgef40	ARHGEF40
Arih1	ARIH1
Arih2	ARIH2
Arl1	ARL1
Arl14ep	ARL14EP
Arl5a	ARL5A
Arl6ip4	ARL6IP4
Arl8a	ARL8A
Arl8b	ARL8B
Armc1	ARMC1
Armc10	ARMC10
Armc5	ARMC5
Armc6	ARMC6
Armc7	ARMC7
Armc8	ARMC8
Armcx3	ARMCX3
Armcx5	ARMCX5
Arnt	ARNT
Arpc1a	ARPC1A
Arpc2	ARPC2
Arpc5l	ARPC5L
Arv1	ARV1
Arxes1	SPCS3
Arxes2	SPCS3
Asb1	ASB1
Asb6	ASB6
Asb7	ASB7
Asb8	ASB8
Ascc1	ASCC1
Ascc3	ASCC3
Asf1a	ASF1A
Ash2l	ASH2L
Asnsd1	ASNSD1
Aspscr1	ASPSCR1
Asxl1	ASXL1
Atad1	ATAD1
Atad3a	ATAD3A
Ate1	ATE1
Atf1	ATF1
Atf2	ATF2
Atf4	ATF4
Atf6	ATF6
Atf7	ATF7
Atf7ip	ATF7IP
Atg12	ATG12
Atg13	ATG13
Atg16l1	ATG16L1
Atg2a	ATG2A
Atg2b	ATG2B
Atg3	ATG3
Atg4b	ATG4B
Atg4d	ATG4D
Atg5	ATG5
Atg7	ATG7
Atic	ATIC
Atl2	ATL2
Atmin	ATMIN
Atox1	ATOX1
Atp2c1	ATP2C1
Atp6ap1	ATP6AP1
Atp6v0a2	ATP6V0A2
Atp6v0b	ATP6V0B
Atp6v0c	ATP6V0C
Atp6v0d1	ATP6V0D1
Atp6v0e	ATP6V0E1
Atp6v1c1	ATP6V1C1
Atp6v1d	ATP6V1D
Atp6v1e1	ATP6V1E1
Atp6v1f	ATP6V1F
Atp6v1g1	ATP6V1G1
Atp6v1h	ATP6V1H
Atpaf2	ATPAF2
Atraid	ATRAID
Atrn	ATRN
Atxn10	ATXN10
Atxn1l	ATXN1L
Atxn2	ATXN2
Atxn2l	ATXN2L
Atxn7l3	ATXN7L3
Atxn7l3b	ATXN7L3B
AU015836	CHCHD4
AU022252	C1orf50
AU040320	KIAA0319L
Auh	AUH
Aup1	AUP1
Aurkaip1	AURKAIP1
AW209491	C7orf25
Axin1	AXIN1
Azi2	AZI2
Azin1	AZIN1
B230219D22Rik	C5orf24
B3galt6	B3GALT6
B4galt3	B4GALT3
B4galt5	B4GALT5
B4galt7	B4GALT7
Babam1	BABAM1
Bad	BAD
Bag1	BAG1
Bag4	BAG4
Bag6	BAG6
Bahd1	BAHD1
Banf1	BANF1
Bap1	BAP1
Baz1b	BAZ1B
Bbs4	BBS4
BC003965	C16orf91
BC004004	C6orf89
BC005537	C6orf62
BC005624	C9orf78
BC031181	C18orf32
Bcap29	BCAP29
Bcap31	BCAP31
Bcas2	BCAS2
Bcat2	BCAT2
Bccip	BCCIP
Bckdha	BCKDHA
Bckdk	BCKDK
Bcl2l1	BCL2L1
Bcl2l13	BCL2L13
Bcl7b	BCL7B
Bclaf1	BCLAF1
Bcs1l	BCS1L
Becn1	BECN1
Bfar	BFAR
Birc2	BIRC2
Blmh	BLMH
Bloc1s1	BLOC1S1
Bloc1s2	BLOC1S2
Bloc1s3	BLOC1S3
Bloc1s4	BLOC1S4
Bloc1s6	BLOC1S6
Blzf1	BLZF1
Bmi1	BMI1
Bms1	BMS1
Bnip1	BNIP1
Bnip2	BNIP2
Bod1	BOD1
Bola1	BOLA1
Bola3	BOLA3
Bpgm	BPGM
Bpnt1	BPNT1
Bptf	BPTF
Brat1	BRAT1
Brd2	BRD2
Brd4	BRD4
Brd9	BRD9
Brf1	BRF1
Brf2	BRF2
Brix1	BRIX1
Brk1	BRK1
Brms1	BRMS1
Brpf1	BRPF1
Brpf3	BRPF3
Bsdc1	BSDC1
Bsg	BSG
Btbd2	BTBD2
Btd	BTD
Btf3	BTF3
Bub3	BUB3
Bzw1	BZW1
C030006K11Rik	C8orf82
C1galt1	C1GALT1
C1qbp	C1QBP
Cab39	CAB39
Calcoco2	CALCOCO2
Calm1	CALM1
Calr	CALR
Calu	CALU
Camta1	CAMTA1
Camta2	CAMTA2
Cant1	CANT1
Canx	CANX
Capn1	CAPN1
Capn7	CAPN7
Capns1	CAPNS1
Caprin1	CAPRIN1
Capza2	CAPZA2
Capzb	CAPZB
Cars2	CARS2
Casc3	CASC3
Casp3	CASP3
Casp7	CASP7
Casp9	CASP9
Cbr4	CBR4
Cbx3	CBX3
Cbx5	CBX5
Cc2d1a	CC2D1A
Cc2d1b	CC2D1B
Ccar1	CCAR1
Ccdc12	CCDC12
Ccdc124	CCDC124
Ccdc127	CCDC127
Ccdc137	CCDC137
Ccdc149	CCDC149
Ccdc174	CCDC174
Ccdc22	CCDC22
Ccdc25	CCDC25
Ccdc47	CCDC47
Ccdc50	CCDC50
Ccdc51	CCDC51
Ccdc59	CCDC59
Ccdc71	CCDC71
Ccdc86	CCDC86
Ccdc92	CCDC92
Ccm2	CCM2
Ccnb1ip1	CCNB1IP1
Ccndbp1	CCNDBP1
Ccng1	CCNG1
Ccnh	CCNH
Ccnk	CCNK
Ccnl1	CCNL1
Ccnl2	CCNL2
Ccny	CCNY
Ccpg1	CCPG1
Cct3	CCT3
Cct4	CCT4
Cct5	CCT5
Cct6a	CCT6A
Cct7	CCT7
Cct8	CCT8
Cd164	CD164
Cd320	CD320
Cd46	CD46
Cd63	CD63
Cd81	CD81
Cd82	CD82
Cd99l2	CD99L2
Cdc123	CDC123
Cdc16	CDC16
Cdc23	CDC23
Cdc27	CDC27
Cdc37	CDC37
Cdc37l1	CDC37L1
Cdc40	CDC40
Cdc42	CDC42
Cdc5l	CDC5L
Cdip1	CDIP1
Cdipt	CDIPT
Cdk12	CDK12
Cdk13	CDK13
Cdk16	CDK16
Cdk2ap1	CDK2AP1
Cdk4	CDK4
Cdk5rap1	CDK5RAP1
Cdk8	CDK8
Cdk9	CDK9
Cds2	CDS2
Cdv3	CDV3
Cdyl	CDYL
Cebpg	CEBPG
Cebpz	CEBPZ
Celf1	CELF1
Cenpb	CENPB
Cenpt	CENPT
Cep104	CEP104
Cep57	CEP57
Cep63	CEP63
Cerk	CERK
Cers2	CERS2
Cggbp1	CGGBP1
Champ1	CHAMP1
Chchd1	CHCHD1
Chchd2	CHCHD2
Chchd3	CHCHD3
Chchd4	CHCHD4
Chchd5	CHCHD5
Chchd7	CHCHD7
Chd1l	CHD1L
Chd4	CHD4
Chd8	CHD8
Cherp	CHERP
Chid1	CHID1
Chkb	CHKB
Chmp1a	CHMP1A
Chmp2a	CHMP2A
Chmp2b	CHMP2B
Chmp4b	CHMP4B
Chmp5	CHMP5
Chmp6	CHMP6
Chp1	CHP1
Chpt1	CHPT1
Chrac1	CHRAC1
Chst12	CHST12
Chst7	CHST7
Chtop	CHTOP
Chuk	CHUK
Churc1	CHURC1
Ciao1	CIAO1
Cib1	CIB1
Cic	CIC
Cinp	CINP
Cir1	CIR1
Cisd1	CISD1
Cisd2	CISD2
Cisd3	CISD3
Ckap4	CKAP4
Clcc1	CLCC1
Clcn3	CLCN3
Clcn7	CLCN7
Clint1	CLINT1
Clk3	CLK3
Clns1a	CLNS1A
Clock	CLOCK
Clp1	CLP1
Clpp	CLPP
Clptm1	CLPTM1
Clptm1l	CLPTM1L
Clpx	CLPX
Clta	CLTA
Cltb	CLTB
Cltc	CLTC
Cmas	CMAS
Cmc1	CMC1
Cmc4	CMC4
Cmpk1	CMPK1
Cnbp	CNBP
Cnih4	CNIH4
Cnnm2	CNNM2
Cnnm3	CNNM3
Cnot1	CNOT1
Cnot11	CNOT11
Cnot2	CNOT2
Cnot3	CNOT3
Cnot4	CNOT4
Cnot7	CNOT7
Cnst	CNST
Coa3	COA3
Coa4	COA4
Coa5	COA5
Coa6	COA6
Coasy	COASY
Cog1	COG1
Cog2	COG2
Cog3	COG3
Cog4	COG4
Cog7	COG7
Cog8	COG8
Commd1	COMMD1
Commd10	COMMD10
Commd3	COMMD3
Commd5	COMMD5
Commd6	COMMD6
Commd7	COMMD7
Commd9	COMMD9
Comt	COMT
Copa	COPA
Copb1	COPB1
Copb2	COPB2
Cope	COPE
Copg1	COPG1
Cops2	COPS2
Cops3	COPS3
Cops4	COPS4
Cops5	COPS5
Cops6	COPS6
Cops7a	COPS7A
Cops7b	COPS7B
Cops8	COPS8
Copz1	COPZ1
Coq10b	COQ10B
Coq2	COQ2
Coq4	COQ4
Coq5	COQ5
Coq6	COQ6
Coro1c	CORO1C
Cox11	COX11
Cox14	COX14
Cox15	COX15
Cox16	COX16
Cox19	COX19
Cox20	COX20
Cox4i1	COX4I1
Cox5b	COX5B
Cox5b-ps	COX5B
Cox6b1	COX6B1
Cox6c	COX6C
Cox7a2	COX7A2
Cox7a2l	COX7A2L
Cox7c	COX7C
Cox8a	COX8A
Cpd	CPD
Cpne2	CPNE2
Cpne3	CPNE3
Cpox	CPOX
Cpsf2	CPSF2
Cpsf4	CPSF4
Cpsf6	CPSF6
Cpsf7	CPSF7
Cradd	CRADD
Crbn	CRBN
Crcp	CRCP
Creb3	CREB3
Crebzf	CREBZF
Creg1	CREG1
Creld1	CRELD1
Cript	CRIPT
Crk	CRK
Crkl	CRKL
Crls1	CRLS1
Crnkl1	CRNKL1
Crtc2	CRTC2
Cry2	CRY2
Csgalnact2	CSGALNACT2
Csnk1a1	CSNK1A1
Csnk1d	CSNK1D
Csnk1g3	CSNK1G3
Csnk2a1	CSNK2A3
Csnk2b	CSNK2B
Cst10	CST3
Cst3	CST3
Cstb	CSTB
Cstf1	CSTF1
Cstf2t	CSTF2T
Ctbp1	CTBP1
Ctcf	CTCF
Ctdsp2	CTDSP2
Ctnna1	CTNNA1
Ctnnb1	CTNNB1
Ctnnbip1	CTNNBIP1
Ctnnbl1	CTNNBL1
Ctnnd1	CTNND1
Ctsa	CTSA
Ctsd	CTSD
Cttn	CTTN
Ctu2	CTU2
Cuedc2	CUEDC2
Cul1	CUL1
Cul2	CUL2
Cul4a	CUL4A
Cul4b	CUL4B
Cul5	CUL5
Cuta	CUTA
Cux1	CUX1
Cwc15	CWC15
Cwc22	CWC22
Cwc25	CWC25
Cxxc1	CXXC1
Cxxc5	CXXC5
Cyb5b	CYB5B
Cyb5d2	CYB5D2
Cyb5r3	CYB5R3
Cyc1	CYC1
Cyfip1	CYFIP1
Cyp2u1	CYP2U1
D17H6S53E	C6orf47
D2hgdh	D2HGDH
D5Ertd579e	KIAA0232
D8Ertd738e	C19orf53
Dad1	DAD1
Dag1	DAG1
Daglb	DAGLB
Dalrd3	DALRD3
Dap3	DAP3
Dars2	DARS2
Daxx	DAXX
Dazap1	DAZAP1
Dbt	DBT
Dcaf10	DCAF10
Dcaf11	DCAF11
Dcaf12	DCAF12
Dcaf13	DCAF13
Dcaf5	DCAF5
Dcaf7	DCAF7
Dcaf8	DCAF8
Dcakd	DCAKD
Dctd	DCTD
Dctn2	DCTN2
Dctn3	DCTN3
Dctn4	DCTN4
Dctn5	DCTN5
Dctn6	DCTN6
Dctpp1	DCTPP1
Dcun1d3	DCUN1D3
Dcun1d4	DCUN1D4
Dcun1d5	DCUN1D5
Dda1	DDA1
Ddb1	DDB1
Ddb2	DDB2
Ddi2	RSC1A1
Ddost	DDOST
Ddrgk1	DDRGK1
Ddx1	DDX1
Ddx10	DDX10
Ddx17	DDX17
Ddx18	DDX18
Ddx19a	DDX19A
Ddx19b	DDX19B
Ddx21	DDX21
Ddx23	DDX23
Ddx24	DDX24
Ddx27	DDX27
Ddx39b	DDX39B
Ddx3x	DDX3X
Ddx41	DDX41
Ddx42	DDX42
Ddx46	DDX46
Ddx47	DDX47
Ddx49	DDX49
Ddx54	DDX54
Ddx56	DDX56
Ddx59	DDX59
Dedd	DEDD
Def8	DEF8
Degs1	DEGS1
Dek	DEK
Dennd1a	DENND1A
Dennd4a	DENND4A
Denr	DENR
Dera	DERA
Derl1	DERL1
Derl2	DERL2
Desi1	DESI1
Dexi	DEXI
Dffa	DFFA
Dgcr2	DGCR2
Dgcr6	DGCR6L
Dhps	DHPS
Dhrs7b	DHRS7B
Dhx15	DHX15
Dhx16	DHX16
Dhx29	DHX29
Dhx30	DHX30
Dhx32	DHX32
Dhx33	DHX33
Dhx36	DHX36
Dhx38	DHX38
Dhx8	DHX8
Dhx9	DHX9
Diablo	DIABLO
Dido1	DIDO1
Dimt1	DIMT1
Dis3	DIS3
Dis3l2	DIS3L2
Dkc1	DKC1
Dld	DLD
Dlg1	DLG1
Dlgap4	DLGAP4
Dlst	DLST
Dmap1	DMAP1
Dnaaf2	DNAAF2
Dnaja2	DNAJA2
Dnaja3	DNAJA3
Dnajb11	DNAJB11
Dnajb12	DNAJB12
Dnajb9	DNAJB9
Dnajc10	DNAJC10
Dnajc11	DNAJC11
Dnajc14	DNAJC14
Dnajc17	DNAJC17
Dnajc19	DNAJC19
Dnajc2	DNAJC2
Dnajc21	DNAJC21
Dnajc3	DNAJC3
Dnajc4	DNAJC4
Dnajc5	DNAJC5
Dnajc7	DNAJC7
Dnajc8	DNAJC8
Dnajc9	DNAJC9
Dnase2a	DNASE2
Dnlz	DNLZ
Dnm1l	DNM1L
Dnm2	DNM2
Dnttip1	DNTTIP1
Dnttip2	DNTTIP2
Dohh	DOHH
Dolk	DOLK
Dpagt1	DPAGT1
Dph1	DPH1
Dph2	DPH2
Dph3	DPH3
Dph5	DPH5
Dpm1	DPM1
Dpp7	DPP7
Dpy30	DPY30
Dr1	DR1
Dram2	DRAM2
Drap1	DRAP1
Drg2	DRG2
Drosha	DROSHA
Dtwd1	DTWD1
Dusp11	DUSP11
Dusp14	DUSP14
Dusp16	DUSP16
Dusp22	DUSP22
Dut	DUT
Dvl3	DVL3
Dym	DYM
Dync1li1	DYNC1LI1
Dynll2	DYNLL2
Dynlrb1	DYNLRB1
Dynlt1a	DYNLT1
Dynlt1b	DYNLT1
Dynlt1c	DYNLT1
Dynlt1f	DYNLT1
E2f4	E2F4
E430018J23Rik	ZNF764
E4f1	E4F1
Eaf1	EAF1
Eapp	EAPP
Ears2	EARS2
Ebag9	EBAG9
Ebna1bp2	EBNA1BP2
Ecd	ECD
Ech1	ECH1
Echdc1	ECHDC1
Echs1	ECHS1
Eci1	ECI1
Eci2	ECI2
Eci3	ECI2
Ecsit	ECSIT
Edc3	EDC3
Edc4	EDC4
Edem3	EDEM3
Edf1	EDF1
Eed	EED
Eef1aknmt	METTL13
Eef1b2	EEF1B2
Eef1e1	EEF1E1
Eef2	EEF2
Eefsec	EEFSEC
Efcab14	EFCAB14
Efr3a	EFR3A
Eftud2	EFTUD2
Egln2	EGLN2
Ehmt1	EHMT1
Ei24	EI24
Eid2	EID2
Eif1ad	EIF1AD
Eif1b	EIF1B
Eif2a	EIF2A
Eif2ak1	EIF2AK1
Eif2ak3	EIF2AK3
Eif2ak4	EIF2AK4
Eif2b2	EIF2B2
Eif2b3	EIF2B3
Eif2b4	EIF2B4
Eif2b5	EIF2B5
Eif2d	EIF2D
Eif2s1	EIF2S1
Eif2s2	EIF2S2
Eif3a	EIF3A
Eif3b	EIF3B
Eif3d	EIF3D
Eif3e	EIF3E
Eif3g	EIF3G
Eif3h	EIF3H
Eif3i	EIF3I
Eif3j1	EIF3J
Eif3j2	EIF3J
Eif3k	EIF3K
Eif3l	EIF3L
Eif3m	EIF3M
Eif4a1	EIF4A1
Eif4a3	EIF4A3
Eif4a3l1	EIF4A3
Eif4a3l2	EIF4A3
Eif4e2	EIF4E2
Eif4g1	EIF4G1
Eif4g2	EIF4G2
Eif4g3	EIF4G3
Eif4h	EIF4H
Eif5	EIF5
Eif5b	EIF5B
Eif6	EIF6
Elac2	ELAC2
Elavl1	ELAVL1
Elf2	ELF2
Elk1	ELK1
Elk4	ELK4
Ell2	ELL2
Elmod3	ELMOD3
Elovl1	ELOVL1
Elp2	ELP2
Elp3	ELP3
Elp4	ELP4
Elp6	ELP6
Emc1	EMC1
Emc10	EMC10
Emc2	EMC2
Emc3	EMC3
Emc4	EMC4
Emc6	EMC6
Emc7	EMC7
Emc8	EMC8
Emc9	EMC9
Emd	EMD
Emg1	EMG1
Endog	ENDOG
Enoph1	ENOPH1
Ensa	ENSA
Entpd4	ENTPD4
Entpd4b	ENTPD4
Entpd6	ENTPD6
Eny2	ENY2
Epc1	EPC1
Epm2aip1	EPM2AIP1
Epn1	EPN1
Eral1	ERAL1
Erap1	ERAP1
Ercc1	ERCC1
Ercc2	ERCC2
Ercc3	ERCC3
Ercc5	ERCC5
Ergic2	ERGIC2
Ergic3	ERGIC3
Erh	ERH
Eri3	ERI3
Erich1	ERICH1
Erlec1	ERLEC1
Erp44	ERP44
Esd	ESD
Esf1	ESF1
Etf1	ETF1
Etfa	ETFA
Etfb	ETFB
Etv6	ETV6
Ewsr1	EWSR1
Exd2	EXD2
Exoc1	EXOC1
Exoc2	EXOC2
Exoc3	EXOC3
Exoc4	EXOC4
Exoc7	EXOC7
Exoc8	EXOC8
Exosc1	EXOSC1
Exosc10	EXOSC10
Exosc2	EXOSC2
Exosc4	EXOSC4
Exosc7	EXOSC7
Exosc8	EXOSC8
Ext2	EXT2
Extl3	EXTL3
Fadd	FADD
Faf1	FAF1
Faf2	FAF2
Fahd1	FAHD1
Fam104a	FAM104B
Fam114a2	FAM114A2
Fam118b	FAM118B
Fam120a	FAM120A
Fam120b	FAM120B
Fam136a	FAM136A
Fam149b	FAM149B1
Fam162a	FAM162A
Fam168b	FAM168B
Fam174a	FAM174A
Fam177a	FAM177A1
Fam177a2	FAM177A1
Fam199x	FAM199X
Fam204a	FAM204A
Fam20b	FAM20B
Fam210b	FAM210B
Fam32a	FAM32A
Fam3a	FAM3A
Fam50a	FAM50A
Fam50b	FAM50B
Fam8a1	FAM8A1
Fam98a	FAM98A
Fars2	FARS2
Farsa	FARSA
Farsb	FARSB
Fastk	FASTK
Fastkd2	FASTKD2
Fastkd5	FASTKD5
Fbrsl1	FBRSL1
Fbxl15	FBXL15
Fbxl17	FBXL17
Fbxl3	FBXL3
Fbxl4	FBXL4
Fbxl5	FBXL5
Fbxl6	FBXL6
Fbxo11	FBXO11
Fbxo22	FBXO22
Fbxo28	FBXO28
Fbxo3	FBXO3
Fbxo38	FBXO38
Fbxo42	FBXO42
Fbxo45	FBXO45
Fbxo6	FBXO6
Fbxo7	FBXO7
Fbxw11	FBXW11
Fbxw2	FBXW2
Fbxw4	FBXW4
Fbxw5	FBXW5
Fbxw7	FBXW7
Fcf1	FCF1
Fdft1	FDFT1
Fdft1	FDFT1
Fdps	FDPS
Fdx1	FDX1
Fech	FECH
Fem1c	FEM1C
Fen1	FEN1
Fez2	FEZ2
Fgfr1op2	FGFR1OP2
Fh1	FH
Fibp	FIBP
Ficd	FICD
Fis1	FIS1
Fiz1	FIZ1
Fkbp3	FKBP3
Fkbp8	FKBP8
Fkbpl	FKBPL
Fkrp	FKRP
Flad1	FLAD1
Flcn	FLCN
Flot1	FLOT1
Flot2	FLOT2
Fndc3a	FNDC3A
Fnta	FNTA
Fntb	FNTB
Foxk2	FOXK2
Foxp4	FOXP4
Foxred1	FOXRED1
Fpgs	FPGS
Fpgt	FPGT
Fra10ac1	FRA10AC1
Fto	FTO
Ftsj1	FTSJ1
Ftsj3	FTSJ3
Fubp1	FUBP1
Fundc2	FUNDC2
Fxn	FXN
Fyttd1	FYTTD1
Fzr1	FZR1
G3bp1	G3BP1
Gaa	GAA
Gabarap	GABARAP
Gabarapl2	GABARAPL2
Gabpb1	GABPB1
Gadd45gip1	GADD45GIP1
Galk2	GALK2
Galns	GALNS
Galnt1	GALNT1
Galnt2	GALNT2
Galt	GALT
Ganab	GANAB
Gapvd1	GAPVD1
Gart	GART
Gatad2a	GATAD2A
Gatad2b	GATAD2B
Gatc	GATC
Gba2	GBA2
Gbf1	GBF1
Gcc1	GCC1
Gcdh	GCDH
Gclc	GCLC
Gclm	GCLM
Gde1	GDE1
Gdi2	GDI2
Gdpgp1	GDPGP1
Gemin7	GEMIN7
Gemin8	GEMIN8
Get4	GET4
Gfer	GFER
Gfm1	GFM1
Gfod2	GFOD2
Ggct	GGCT
Ggnbp2	GGNBP2
Ggt7	GGT7
Ghdc	GHDC
Ghitm	GHITM
Gid8	GID8
Ginm1	GINM1
Gipc1	GIPC1
Glce	GLCE
Gle1	GLE1
Glg1	GLG1
Glo1	GLO1
Glrx3	GLRX3
Glrx5	GLRX5
Glt8d1	GLT8D1
Gltp	GLTP
Glyr1	GLYR1
Gm12184	CDK2AP1
Gm12666	LARP7
Gm13691	CWC22
Gm13693	CWC22
Gm13694	CWC22
Gm13695	CWC22
Gm13696	CWC22
Gm13697	CWC22
Gm13698	CWC22
Gm2000	RPL35
Gm20765	ALYREF
Gm21293	ALYREF
Gm21304	ALYREF
Gm21312	ALYREF
Gm32717	CDC5L
Gm32802	CDC5L
Gm42742	PAGR1
Gm4301	ALYREF
Gm4302	ALYREF
Gm4303	ALYREF
Gm4305	ALYREF
Gm4307	ALYREF
Gm4308	ALYREF
Gm4312	ALYREF
Gm4340	ALYREF
Gm49380	RNF26
Gm5065	LGALSL
Gm527	C14orf28
Gm56450	MKKS
Gm56451	MKKS
Gm5698	ALYREF
Gm5773	SPOP
Gm6489	ALYREF
Gm6525	RPL36AL
Gm6763	ALYREF
Gm7102	MPLKIP
Gm7324	RBMXL1
Gm7879	PPIH
Gm8764	ALYREF
Gm9008	RNF26
Gm9040	CDC5L
Gm9044	CDC5L
Gm9045	CDC5L
Gm9046	CDC5L
Gm9048	CDC5L
Gm9049	CDC5L
Gmppa	GMPPA
Gmpr2	GMPR2
Gnb1	GNB1
Gnb2	GNB2
Gne	GNE
Gnl2	GNL2
Gnl3	GNL3
Gnpat	GNPAT
Gnpda1	GNPDA1
Gnpnat1	GNPNAT1
Gnptg	GNPTG
Gns	GNS
Golga1	GOLGA1
Golga3	GOLGA3
Golga5	GOLGA5
Golga7	GOLGA7
Golgb1	GOLGB1
Golph3	GOLPH3
Golt1b	GOLT1B
Gon4l	YY1AP1
Gopc	GOPC
Gorasp1	GORASP1
Gorasp2	GORASP2
Gosr1	GOSR1
Gosr2	GOSR2
Gpaa1	GPAA1
Gpank1	GPANK1
Gpatch4	GPATCH4
Gpbp1	GPBP1
Gpbp1l1	GPBP1L1
Gphn	GPHN
Gpi1	GPI
Gpkow	GPKOW
Gpn1	GPN1
Gpn2	GPN2
Gpn3	GPN3
Gpr107	GPR107
Gpr108	GPR108
Gps1	GPS1
Gps2	GPS2
Gpx4	GPX4
Gramd4	GRAMD4
Grcc10	C12orf57
Grhpr	GRHPR
Grina	GRINA
Gripap1	GRIPAP1
Grpel1	GRPEL1
Grsf1	GRSF1
Grwd1	GRWD1
Gsk3a	GSK3A
Gsk3b	GSK3B
Gspt1	GSPT1
